


<pre>
=========================================================================================================
              <b> Station Metadata </b>
=========================================================================================================  
   Station Id         :   8454000
   Station Name       :   Providence
   State              :   RI
   Latitude           :   41.8071
   Longitude          :   -71.4012
   Begin Date         :   20200529
   End Date           :   20200529
   Time Zone          :   GMT
   Unit               :   Degrees Centigrade
=========================================================================================================
    <b>Center for Operational Oceanographic Products and Services Data Disclaimer</b>
=========================================================================================================
    <font color="red">These preliminary data have not been subjected to the National Ocean Services (NOS)
    Quality Control procedures, and do not necessarily meet the criteria and standards
    of official NOS data. They are released for limited public use with appropriate caution.</font>
=========================================================================================================
    <b>Name             --   Description</b>
=========================================================================================================
    ID               --   Station ID
    D                --   is an assigned value of 1
    S                --   is the product data type
    Date Time        --   Date and time
    AT               --   Air temperature
    X                --   A flag that when set to 1 indicates that the maximum expected air temperature was exceeded
    N                --   A flag that when set to 1 indicates that the minimum expected air temperature was exceeded
    R                --   A flag that when set to 1 indicates that the rate of change tolerance limit was exceeded
==========================================================================================================
<b>ID      D S  Date       Time      AT    X N R</b>
==========================================================================================================
<pre>
8454000 1 AT 2020-05-29 00:00    19.4   0 0 0
8454000 1 AT 2020-05-29 00:06    19.6   0 0 0
8454000 1 AT 2020-05-29 00:12    20.5   0 0 0
8454000 1 AT 2020-05-29 00:18    20.4   0 0 0
8454000 1 AT 2020-05-29 00:24    19.2   0 0 0
8454000 1 AT 2020-05-29 00:30    19.0   0 0 0
8454000 1 AT 2020-05-29 00:36    19.1   0 0 0
8454000 1 AT 2020-05-29 00:42    19.1   0 0 0
8454000 1 AT 2020-05-29 00:48    18.9   0 0 0
8454000 1 AT 2020-05-29 00:54    18.7   0 0 0
8454000 1 AT 2020-05-29 01:00    18.4   0 0 0
8454000 1 AT 2020-05-29 01:06    18.3   0 0 0
8454000 1 AT 2020-05-29 01:12    18.3   0 0 0
8454000 1 AT 2020-05-29 01:18    18.4   0 0 0
8454000 1 AT 2020-05-29 01:24    18.4   0 0 0
8454000 1 AT 2020-05-29 01:30    18.6   0 0 0
8454000 1 AT 2020-05-29 01:36    18.9   0 0 0
8454000 1 AT 2020-05-29 01:42    19.0   0 0 0
8454000 1 AT 2020-05-29 01:48    19.0   0 0 0
8454000 1 AT 2020-05-29 01:54    19.0   0 0 0
8454000 1 AT 2020-05-29 02:00    19.0   0 0 0
8454000 1 AT 2020-05-29 02:06    19.1   0 0 0
8454000 1 AT 2020-05-29 02:12    19.1   0 0 0
8454000 1 AT 2020-05-29 02:18    19.1   0 0 0
8454000 1 AT 2020-05-29 02:24    19.1   0 0 0
8454000 1 AT 2020-05-29 02:30    19.1   0 0 0
8454000 1 AT 2020-05-29 02:36    18.8   0 0 0
8454000 1 AT 2020-05-29 02:42    18.8   0 0 0
8454000 1 AT 2020-05-29 02:48    18.9   0 0 0
8454000 1 AT 2020-05-29 02:54    18.9   0 0 0
8454000 1 AT 2020-05-29 03:00    19.0   0 0 0
8454000 1 AT 2020-05-29 03:06    18.9   0 0 0
8454000 1 AT 2020-05-29 03:12    18.9   0 0 0
8454000 1 AT 2020-05-29 03:18    19.0   0 0 0
8454000 1 AT 2020-05-29 03:24    19.1   0 0 0
8454000 1 AT 2020-05-29 03:30    19.2   0 0 0
8454000 1 AT 2020-05-29 03:36    19.0   0 0 0
8454000 1 AT 2020-05-29 03:42    19.0   0 0 0
8454000 1 AT 2020-05-29 03:48    18.8   0 0 0
8454000 1 AT 2020-05-29 03:54    18.6   0 0 0
8454000 1 AT 2020-05-29 04:00    18.7   0 0 0
8454000 1 AT 2020-05-29 04:06    18.9   0 0 0
8454000 1 AT 2020-05-29 04:12    18.9   0 0 0
8454000 1 AT 2020-05-29 04:18    18.9   0 0 0
8454000 1 AT 2020-05-29 04:24    19.0   0 0 0
8454000 1 AT 2020-05-29 04:30    19.1   0 0 0
8454000 1 AT 2020-05-29 04:36    19.3   0 0 0
8454000 1 AT 2020-05-29 04:42    19.4   0 0 0
8454000 1 AT 2020-05-29 04:48    19.8   0 0 0
8454000 1 AT 2020-05-29 04:54    20.1   0 0 0
8454000 1 AT 2020-05-29 05:00    20.3   0 0 0
8454000 1 AT 2020-05-29 05:06    20.3   0 0 0
8454000 1 AT 2020-05-29 05:12    20.2   0 0 0
8454000 1 AT 2020-05-29 05:18    20.2   0 0 0
8454000 1 AT 2020-05-29 05:24    20.2   0 0 0
8454000 1 AT 2020-05-29 05:30    20.2   0 0 0
8454000 1 AT 2020-05-29 05:36    20.1   0 0 0
8454000 1 AT 2020-05-29 05:42    20.1   0 0 0
8454000 1 AT 2020-05-29 05:48    20.1   0 0 0
8454000 1 AT 2020-05-29 05:54    20.0   0 0 0
