"Table 101.10. Estimates of resident population, by age group: 1970 through 2018   ",,,,,,,,,,,
[In thousands],,,,,,,,,,,
Year,"Total, all ages","Total, 3 to 34 years old",3 and 4 years old,5 and 6 years old,7 to 13 years old,14 to 17 years old,18 and 19 years old,20 and 21 years old,22 to 24 years old,25 to 29 years old,30 to 34 years old
1 ,2,3,4,5,6,7,8,9,10,11 ,12
1970 .....,"205,052","109,592","6,961","7,703","28,969","15,924","7,510","7,210","9,992","13,736","11,587"
1971 .....,"207,661","111,202","6,805","7,344","28,892","16,328","7,715","7,350","10,809","14,041","11,917"
1972 .....,"209,896","112,807","6,789","7,051","28,628","16,639","7,923","7,593","10,560","15,240","12,383"
1973 .....,"211,909","114,426","6,938","6,888","28,158","16,867","8,114","7,796","10,725","15,786","13,153"
1974 .....,"213,854","116,075","7,117","6,864","27,600","17,035","8,257","8,003","10,972","16,521","13,704"
,,,,,,,,,,,
1975 .....,"215,973","117,435","6,912","7,013","26,905","17,128","8,478","8,196","11,331","17,280","14,191"
1976 .....,"218,035","118,474","6,436","7,195","26,321","17,119","8,659","8,336","11,650","18,274","14,485"
1977 .....,"220,239","119,261","6,190","6,978","25,877","17,045","8,675","8,550","11,949","18,277","15,721"
1978 .....,"222,585","119,833","6,208","6,500","25,594","16,946","8,677","8,730","12,216","18,683","16,280"
1979 .....,"225,055","120,544","6,252","6,256","25,175","16,611","8,751","8,754","12,542","19,178","17,025"
 ,, ,,,,,,,,,
1980 .....,"227,225","121,132","6,366","6,291","24,800","16,143","8,718","8,669","12,716","19,686","17,743"
1981 .....,"229,466","121,999","6,535","6,315","24,396","15,609","8,582","8,759","12,903","20,169","18,731"
1982 .....,"231,664","121,823","6,658","6,407","24,121","15,057","8,480","8,768","12,914","20,704","18,714"
1983 .....,"233,792","122,302","6,877","6,572","23,709","14,740","8,290","8,652","12,981","21,414","19,067"
1984 .....,"235,825","122,254","7,045","6,694","23,367","14,725","7,932","8,567","12,962","21,459","19,503"
,,,,,,,,,,,
1985 .....,"237,924","122,512","7,134","6,916","22,976","14,888","7,637","8,370","12,895","21,671","20,025"
1986 .....,"240,133","122,688","7,187","7,086","22,992","14,824","7,483","8,024","12,720","21,893","20,479"
1987 .....,"242,289","122,672","7,132","7,178","23,325","14,502","7,502","7,742","12,450","21,857","20,984"
1988 .....,"244,499","122,713","7,176","7,238","23,791","14,023","7,701","7,606","12,048","21,739","21,391"
1989 .....,"246,819","122,655","7,315","7,184","24,228","13,536","7,898","7,651","11,607","21,560","21,676"
,,,,,,,,,,,
